全2册 C语言从入门到精通c语言程序设计电脑编程入门零基础Python编程从入门到精通计算机软件程序员开发教程教材编程语言程序爬书,￥21.80,95条评价,中昊欣彩图书专营店
Python气象数据处理与绘图基础 团购电话4006186622,￥49.00,200+条评价,科学出版社京东自营官方旗舰店
新版python编程从入门到实战第2版 计算机零基础自学python编程从入门到实践编程精通教程程序设计开发书籍,￥69.80,100+条评价,木垛图书旗舰店
Python网络爬虫权威指南 第2版(图灵出品) Python，3网络爬虫开发入门书籍，介绍网页抓取技术，解决Web数据采集、转换和使用中的诸多常见问题和痛点　200册以上团购电话：01089111488,￥68.70,5000+条评价,人民邮电出版社京东自营官方旗舰店
name,price,count,shop
青少年学Python编程从入门到精通：视频案例版 中小学青少年编程儿童少儿编程 零基础学（全彩图解+高清视频）,￥69.40,0条评价,奥华元图书专营店
精通Python设计模式 第2版(图灵出品) 软件工程教程书籍，26种基本设计模式，化解软件设计的常见问题，借力Python语言，实例展示各模式关键特性　团购电话4006186622,￥42.60,500+条评价,人民邮电出版社京东自营官方旗舰店
Python游戏超详细实战攻略（微课视频版）（移动互联网开发技术丛书）,"￥67.30
￥44.00",72条评价,清华大学出版社京东自营官方旗舰店
用Python动手学机器学习（图灵出品） 面向机器学习新手的入门书，341个公式+175段代码+167张插图，透彻掌握机器学习基础知识；支持JupyterNotebook编程环境，提供源代码下载！ 单册100册以上团购电话4006186622,￥77.40,50万+条评价,人民邮电出版社京东自营官方旗舰店
Python OpenCV 从入门到实践（Python3全彩版）赠入门视频、电子书、源码等，提供技术答疑,￥47.00,20万+条评价,明日科技京东自营官方旗舰店
Python极客编程：用代码探索世界(异步图书出品) 16个有趣的编程项目，项目式的学习方法，有趣案例提升Python编程技能，培养解决现实问题的思维，附赠源代码，适合零基础计算机小白入门学习　单册数量100本以上可联系团购电话4006186622,￥69.50,100+条评价,人民邮电出版社京东自营官方旗舰店
python编程从入门到精通 基于python3编写适用于各个版本,￥28.80,29条评价,翰宇图书专营店
零基础入门学习Python 小甲鱼 python编程从入门到精通实践语言程序设计基础教程书 网络爬虫计算机电脑数据分析实战自学书籍,"￥48.80
￥46.30",2000+条评价,墨马图书旗舰店
Python FastAPI构建数据科学应用Building Data Science Appl 单册100册以上团购电话4006186622,￥74.50,100+条评价,北京航空航天大学出版社京东自营官方旗舰店
Python大数据分析与机器学习商业案例实战 零基础学量化策略与机器学习详解多个行业中的大数据分析技术揭秘机器学习在商业中的应用详解金融数据风控股票量化交易商品智能推荐等大数据分析技术送代码扩展视频和PPT 100册以上团购优惠联系电话4006186622,￥71.10,2000+条评价,机械工业出版社京东自营官方旗舰店
中小学Python编程项目学习创意课堂（微课版） 单册100册以上团购电话4006186622,"￥70.50
￥39.10",200+条评价,京东图书自营旗舰店
看漫画学Python：有趣、有料、好玩、好用（全彩修订版）(博文视点出品) 看漫画学Python黄皮书全新修订版，简单、有趣、入门！提供配套视频、课件、读者群、作者答疑等，小灰、臧秀涛等力赞！磨砺编程技能，平替ChatGPT！,￥50.00,1万+条评价,电子工业出版社京东自营官方旗舰店
教孩子学编程系列：教孩子学编程 Python语言版+趣学Python编程 共2本 儿童编程入门教程书,￥84.00,100+条评价,芝麻开门图书专营店
Python从入门到精通（微课精编版）（软件开发视频大讲堂） 畅销丛书新增精品，打造超便捷的Python学习方案。配套高清视频讲解、精准在线支持，案例多，更易学。,"￥113.00
￥62.70",1万+条评价,清华大学出版社京东自营官方旗舰店
官方正版包邮 疯狂Python讲义 李刚 Python网络编程 Python编程从入门到实践教程书籍,￥35.40,200+条评价,电子工业出版社官方旗舰店
Django企业开发实战 高效Python Web框架指南(图灵出品) Django，web开发框架指南，Django从入门到实践，开发工程师the5fire教你学会如何使用流行的Python，Web框架Django 单册100册以上团购电话4006186622,￥82.90,1万+条评价,人民邮电出版社京东自营官方旗舰店
【现货 速发】Python编程从入门到实践 第2版 编程入门零基础自学核心编程教程书籍 数据分析网络爬虫深度学习,￥69.80,200+条评价,人民邮电出版社官方旗舰店
零基础入门Python游戏 自古华山一条路！勇者们你们准备好踏上这条布满荆棘的Python游戏开发之路了吗？　团购电话4006186622,"￥69.80
￥38.70",10万+条评价,清华大学出版社京东自营官方旗舰店
深入浅出Pandas 利用Python进行数据处理与分析 李庆辉 Python数据科学及 Web开发数据清洗工程师程序设计书,￥68.80,100+条评价,机械工业出版社官方旗舰店
半小时看漫画学Python python基础教程零基础入门学习python编程快速上手 小学生c++少儿趣味编程启蒙书编程绘本幼儿编程思维启蒙编程真好玩,￥39.90,2万+条评价,中国水利水电出版社京东自营官方旗舰店
Python+Tableau数据可视化之美 44个案例+300分钟视频讲解;编程小白必看数据可视化宝典团购电话4006186622,￥70.50,5000+条评价,机械工业出版社京东自营官方旗舰店
Python数据分析 活用Pandas库(图灵出品) 200册以上团购电话：01089111488,￥77.40,2000+条评价,人民邮电出版社京东自营官方旗舰店
Python核心编程 第3版 英文版(异步图书出品） 单册100册以上团购电话4006186622,￥97.40,50万+条评价,人民邮电出版社京东自营官方旗舰店
Python数据分析之道——Thinking in Pandas 单册100册以上团购电话4006186622,￥24.00,80条评价,京东图书自营旗舰店
正版PythonCookbook第3版中文版经典Python图书升级版本Python编程从入门到实践,￥112.32,0条评价,倚芸图书专营店
Python工匠：案例、技巧与工程实践,￥49.90,88条评价,人民邮电出版社官方旗舰店
Python在机器学习中的应用python从入门到精通基于python的大数据分析基础及实践编程入门学习手册利用进行数据分析,￥39.90,5万+条评价,中国水利水电出版社京东自营官方旗舰店
Python编程基础及应用 100册以上团购优惠联系电话4006186622,￥51.00,500+条评价,高等教育出版社京东自营官方旗舰店
Python可解释AI（XAI）实战 打开机器学习模型的黑匣子，深入了解XAI的核心概念，掌握多个XAI工具和方法。随书赠送源代码，获取地址见书封底二维码。 单册数量100本以上可联系团购电话4006186622,￥96.00,1万+条评价,清华大学出版社京东自营官方旗舰店
Python模块参考手册·系统与控制（全彩版） Python模块“必备手册”，262个快学快用，111个属性方法，两大核心模块，内置系统模块专用工具书。易查！易学！易用！,￥31.90,20万+条评价,明日科技京东自营官方旗舰店
